OBJECTID_12,PLOT,Exposure,transect,site_combined,site_individual,SCH_p,SCH_D,TYP_P,TYP_D,LATITUDE,LONGITUDE,cost_small,Fetch_projected,water_depth,slope_USE,speed_limit
79,4,Exposed,KPEC,B,C,0,0,0,0,46.23636399,-84.18157702,8.955802917,1432.781738,51,-0.4,10
80,5,Exposed,KPEC,B,C,0,0,0,0,46.23637598,-84.18151299,2.701867819,1432.781738,60,-1.8,10
81,6,Exposed,KPEC,B,C,0,0,0,0,46.23638101,-84.18144803,2.701867819,1432.781738,66,-1.2,10
82,7,Exposed,KPEC,B,C,0,0,0,0,46.23639702,-84.18139396,2.701867819,1432.781738,80,-2.8,10
83,8,Exposed,KPEC,B,C,0,0,0,0,46.23639903,-84.181329,2.695617199,1432.781738,110,-6,10
84,9,Exposed,KPEC,B,C,0,0,0,0,46.23641403,-84.18126999,2.695617199,1891.341553,122,-2.4,10
290,10,Exposed,KPEC,B,C,0,0,0,0,46.23642192,-84.18120877,2.689368248,1891.341553,152,-2.4,10
291,11,Exposed,KPEC,B,C,0,0,0,0,46.23642976,-84.18114328,2.689368248,1891.341553,152,-2.4,10
292,12,Exposed,KPEC,B,C,0,0,0,0,46.2364398,-84.18108222,2.689368248,1891.341553,152,-2.4,10
293,13,Exposed,KPEC,B,C,0,0,0,0,46.23644873,-84.18101819,2.683121204,1891.341553,163,-2.4,10
294,14,Exposed,KPEC,B,C,0,0,0,0,46.2364566,-84.18095421,2.683121204,1891.341553,163,-2.4,10
295,15,Exposed,KPEC,B,C,0,0,0,0,46.23646571,-84.18089774,2.682475805,1963.00061,163,-2.4,10
85,1,Exposed,KPEN,B,C,0,0,0,0,46.23677102,-84.18172496,2.770339012,1050.965942,0,0,10
86,2,Exposed,KPEN,B,C,0,0,0,0,46.23677102,-84.18165699,2.707555056,1050.965942,68,-13.6,10
87,3,Exposed,KPEN,B,C,0,0,0,0,46.23677001,-84.18159102,2.707555056,1279.069824,60,1.6,10
88,4,Exposed,KPEN,B,C,0,0,0,0,46.23678099,-84.18152397,2.707555056,1279.069824,62,-0.4,10
89,5,Exposed,KPEN,B,C,0,0,0,0,46.23680698,-84.18147502,2.701276779,1245.716431,75,-2.6,10
90,6,Exposed,KPEN,B,C,0,0,0,0,46.23681402,-84.18141701,2.701867819,1245.716431,92,-3.4,10
91,7,Exposed,KPEN,B,C,0,0,0,0,46.23682399,-84.18135096,2.695617199,1245.716431,106,-2.8,10
300,8,Exposed,KPEN,B,C,0,0,0,0,46.23682964,-84.18130139,2.695617199,1245.716431,149,-2.8,10
301,9,Exposed,KPEN,B,C,0,0,0,0,46.23683448,-84.18124211,2.695617199,1245.716431,149,-2.8,10
302,10,Exposed,KPEN,B,C,0,0,0,0,46.2368382,-84.18117986,2.689368248,1515.86792,149,-2.8,10
303,11,Exposed,KPEN,B,C,0,0,0,0,46.23684495,-84.18111291,2.689368248,1515.86792,154,-2.8,10
304,12,Exposed,KPEN,B,C,0,0,0,0,46.23685084,-84.18105358,2.689368248,1515.86792,154,-2.8,10
305,13,Exposed,KPEN,B,C,0,0,0,0,46.23685552,-84.18098825,2.683121204,1515.86792,154,-2.8,10
306,14,Exposed,KPEN,B,C,0,0,0,0,46.23686145,-84.18093043,2.683121204,1515.86792,167,-2.8,10
307,15,Exposed,KPEN,B,C,0,0,0,0,46.23686726,-84.18086807,2.683121204,1515.86792,167,-2.8,10
93,1,Unexposed,KPWC,B,D,0,0,1,13,46.23597398,-84.18735702,38.68854141,1675.626953,0,0,10
94,2,Unexposed,KPWC,B,D,0,0,0,0,46.23594197,-84.18748199,32.41244507,1540.810791,19,-1.9,10
95,3,Unexposed,KPWC,B,D,0,0,0,0,46.23591003,-84.18760898,26.08672333,1540.810791,32,-1.3,10
96,4,Unexposed,KPWC,B,D,0,0,0,0,46.235876,-84.18772398,26.08672333,1742.799805,45,-1.3,10
97,5,Unexposed,KPWC,B,D,0,0,0,0,46.23584004,-84.187843,19.82311249,1742.799805,55,-1,10
98,6,Unexposed,KPWC,B,D,1,5,0,0,46.23581397,-84.18797099,13.5147171,1742.799805,65,-1,10
99,7,Unexposed,KPWC,B,D,1,7,0,0,46.23577701,-84.18809404,13.46182919,1877.288574,72,-0.7,10
100,8,Unexposed,KPWC,B,D,1,5,0,0,46.23574298,-84.18820702,13.46182919,1877.288574,75,-0.3,10
101,9,Unexposed,KPWC,B,D,1,14,0,0,46.23570099,-84.18831901,13.37930489,2000.916748,71,0.4,10
102,10,Unexposed,KPWC,B,D,1,11,0,0,46.23566997,-84.188448,13.32457256,2000.916748,75,-0.4,10
103,11,Unexposed,KPWC,B,D,1,30,0,0,46.235631,-84.18855001,13.32457256,2119.052002,73,0.2,10
