,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_P,SCH_D,TYP_P,TYP_D,LAT,LONGITUDE,fetch,REI_projected,cost_distance,slope,speed_limit,SL_MJ
93,93,94,8,Exposed,KPEN,Green,27,117,0,0,0,0,46.23514996,-84.18799496,2031.942993,10032.64941,18.32266426,-2.925,10,249.805954
94,94,95,1,Unexposed,KPWC,Green,30,0,0,0,1,13,46.23597398,-84.18735702,1675.626953,8378.851563,38.68854141,-0.833333333,10,249.805954
95,95,96,2,Unexposed,KPWC,Green,31,19,0,0,0,0,46.23594197,-84.18748199,1675.626953,8378.851563,32.41244507,-0.833,10,249.805954
96,96,97,3,Unexposed,KPWC,Green,32,32,0,0,0,0,46.23591003,-84.18760898,1675.626953,8378.851563,26.08672333,-0.833,10,249.805954
97,97,98,4,Unexposed,KPWC,Green,33,45,0,0,0,0,46.235876,-84.18772398,1849.703979,9227.84375,26.08672333,-0.833,10,249.805954
98,98,99,5,Unexposed,KPWC,Green,34,55,0,0,0,0,46.23584004,-84.187843,1849.703979,9227.84375,19.82311249,-0.833,10,249.805954
99,99,100,6,Unexposed,KPWC,Green,35,65,1,5,0,0,46.23581397,-84.18797099,1849.703979,9227.84375,13.5147171,-0.833,10,249.805954
100,100,101,7,Unexposed,KPWC,Green,36,72,1,7,0,0,46.23577701,-84.18809404,1969.972046,9773.269531,13.46182919,-0.833,10,249.805954
101,101,102,8,Unexposed,KPWC,Green,37,75,1,5,0,0,46.23574298,-84.18820702,2084.641113,10269.56836,13.46182919,-0.833,10,249.805954
102,102,103,9,Unexposed,KPWC,Green,38,71,1,14,0,0,46.23570099,-84.18831901,2084.641113,10269.56836,13.37930489,-0.833,10,249.805954
103,103,104,10,Unexposed,KPWC,Green,39,75,1,11,0,0,46.23566997,-84.188448,2084.641113,10269.56836,13.32457256,-0.833,10,249.805954
104,104,105,11,Unexposed,KPWC,Green,40,73,1,30,0,0,46.235631,-84.18855001,2191.741943,10687.91992,13.32457256,-0.833,10,249.805954
105,105,106,12,Unexposed,KPWC,Green,41,83,1,2,0,0,46.23559001,-84.18868898,2191.741943,10687.91992,13.26549149,-0.833,10,249.805954
106,106,107,13,Unexposed,KPWC,Green,42,89,1,2,0,0,46.235559,-84.18880298,2191.741943,10687.91992,13.26655579,-0.833,10,249.805954
107,107,108,14,Unexposed,KPWC,Green,43,80,1,9,0,0,46.23552798,-84.18892401,2253.176025,10878.24805,13.26795387,-0.833,10,249.805954
108,108,109,15,Unexposed,KPWC,Green,44,70,1,36,0,0,46.23549001,-84.18904798,2288.554932,10985.42676,13.26183414,-0.833,10,249.805954
109,109,110,16,Unexposed,KPWC,Green,45,125,1,33,0,0,46.23533998,-84.18963899,2415.677002,11345.41406,13.26363182,-0.833,10,249.805954
110,110,112,1,Unexposed,KPWN,Green,62,0,0,0,1,18,46.215498,-84.14982604,1833.968994,9167.748047,7.54889679,-0.66,14,489.6196899
111,111,113,2,Unexposed,KPWN,Green,61,25,0,0,0,0,46.23613399,-84.18728602,1833.968994,9167.748047,38.72613907,-0.66,10,249.805954
112,112,114,3,Unexposed,KPWN,Green,60,33,0,0,0,0,46.23611002,-84.18741602,1833.968994,9167.748047,38.72613907,-0.66,10,249.805954
113,113,115,4,Unexposed,KPWN,Green,59,53,0,0,0,0,46.23608303,-84.18753698,1833.968994,9167.748047,32.44786072,-0.66,10,249.805954
114,114,116,5,Unexposed,KPWN,Green,58,65,0,0,0,0,46.23605596,-84.18765298,1833.968994,9167.748047,26.13470459,-0.66,10,249.805954
115,115,117,6,Unexposed,KPWN,Green,57,66,1,18,0,0,46.23602796,-84.18777896,1833.968994,9167.748047,19.8564949,-0.66,10,249.805954
116,116,118,7,Unexposed,KPWN,Green,56,74,0,0,0,0,46.23599402,-84.18790301,1849.703979,9227.84375,19.8564949,-0.66,10,249.805954
117,117,119,8,Unexposed,KPWN,Green,55,76,0,0,0,0,46.23595898,-84.18801701,1849.703979,9227.84375,13.57818985,-0.66,10,249.805954
118,118,120,9,Unexposed,KPWN,Green,54,74,1,4,0,0,46.23592696,-84.18813997,1969.972046,9773.269531,13.49184418,-0.66,10,249.805954
119,119,121,10,Unexposed,KPWN,Green,53,75,1,28,0,0,46.23589301,-84.18826,1969.972046,9773.269531,13.43669891,-0.66,10,249.805954
120,120,122,11,Unexposed,KPWN,Green,52,79,1,9,0,0,46.23586502,-84.18838296,1969.972046,9773.269531,13.43669891,-0.66,10,249.805954
121,121,123,12,Unexposed,KPWN,Green,51,75,1,12,0,0,46.23583602,-84.18852302,2123.278076,10416.56836,13.35013103,-0.66,10,249.805954
122,122,124,13,Unexposed,KPWN,Green,50,70,1,1,0,0,46.23580903,-84.18864498,2123.278076,10416.56836,13.29278374,-0.66,10,249.805954
123,123,125,14,Unexposed,KPWN,Green,49,57,1,3,0,0,46.23578003,-84.18876702,2123.278076,10416.56836,13.27903461,-0.66,10,249.805954
124,124,126,15,Unexposed,KPWN,Green,48,85,1,12,0,0,46.23574398,-84.18888696,2253.176025,10878.24805,13.27275562,-0.66,10,249.805954
125,125,127,16,Unexposed,KPWN,Green,47,99,1,2,0,0,46.23572102,-84.18900096,2253.176025,10878.24805,13.27408981,-0.66,10,249.805954
126,126,128,1,Unexposed,KPWS,Gray,21,1,0,0,0,0,46.23562597,-84.18721201,1638.932007,8197.592773,41.42503357,-0.621428571,10,249.805954
127,127,129,2,Unexposed,KPWS,Gray,22,34,0,0,0,0,46.23561599,-84.18732902,1638.932007,8197.592773,35.43728638,-0.62143,10,249.805954
128,128,130,3,Unexposed,KPWS,Gray,23,40,0,0,0,0,46.23559001,-84.18744997,1638.932007,8197.592773,27.14929771,-0.62143,10,249.805954
129,129,131,4,Unexposed,KPWS,Gray,24,54,0,0,0,0,46.23558104,-84.18758601,1638.932007,8197.592773,27.14929771,-0.62143,10,249.805954
130,130,132,5,Unexposed,KPWS,Gray,25,60,0,0,0,0,46.23555103,-84.18770797,1913.031006,9505.833984,20.9783287,-0.62143,10,249.805954
131,131,133,6,Unexposed,KPWS,Gray,26,65,1,25,0,0,46.23554299,-84.18783001,1913.031006,9505.833984,14.82845402,-0.62143,10,249.805954
132,132,134,7,Unexposed,KPWS,Gray,27,70,1,8,0,0,46.23553402,-84.18796504,1913.031006,9505.833984,13.44163132,-0.62143,10,249.805954
133,133,135,8,Unexposed,KPWS,Gray,28,77,1,24,0,0,46.23552396,-84.18809596,2084.641113,10269.56836,13.44163132,-0.62143,10,249.805954
134,134,136,9,Unexposed,KPWS,Gray,29,77,1,14,0,0,46.23552103,-84.18822899,2084.641113,10269.56836,13.39756584,-0.62143,10,249.805954
135,135,137,10,Unexposed,KPWS,Gray,36,79,1,2,0,0,46.23544802,-84.18834801,2146.672119,10521.24805,13.32436466,-0.62143,10,249.805954
136,136,138,11,Unexposed,KPWS,Gray,30,85,0,0,0,0,46.23545498,-84.18846804,2257.962891,10926.63379,13.29375267,-0.62143,10,249.805954
137,137,139,12,Unexposed,KPWS,Gray,31,98,0,0,0,0,46.23541801,-84.18861799,2257.962891,10926.63379,13.25921249,-0.62143,10,249.805954
138,138,140,13,Unexposed,KPWS,Gray,32,98,0,0,0,0,46.23540703,-84.18874104,2257.962891,10926.63379,13.25921249,-0.62143,10,249.805954
139,139,141,14,Unexposed,KPWS,Gray,33,88,1,2,0,0,46.23539303,-84.18885704,2288.554932,10985.42676,13.25419712,-0.62143,10,249.805954
140,140,142,15,Unexposed,KPWS,Gray,35,68,1,10,0,0,46.23538499,-84.18899601,2288.554932,10985.42676,13.25572968,-0.62143,10,249.805954
141,141,143,1,Exposed,WPSS,Gray,37,4,0,0,0,0,46.21537596,-84.14979796,2189.87793,8968.152344,13.82728767,-2.254545455,14,489.6196899
142,142,144,2,Exposed,WPSS,Gray,38,59,0,0,0,0,46.21532902,-84.14981104,2189.87793,8968.152344,10.5730896,-2.25455,14,489.6196899
143,143,145,3,Exposed,WPSS,Gray,39,67,0,0,0,0,46.21528401,-84.14982797,2189.87793,8968.152344,10.5730896,-2.25455,14,489.6196899
144,144,146,4,Exposed,WPSS,Gray,40,86,0,0,0,0,46.21523699,-84.14984196,2189.87793,8968.152344,10.5730896,-2.25455,14,489.6196899
145,145,147,5,Exposed,WPSS,Gray,41,90,0,0,0,0,46.21519298,-84.149862,2189.87793,8968.152344,4.294695854,-23.35098648,14,489.6196899
146,146,148,6,Exposed,WPSS,Gray,42,83,0,0,0,0,46.21515099,-84.14987298,2189.87793,8968.152344,4.294695854,-23.35098648,14,489.6196899
147,147,149,7,Exposed,WPSS,Gray,43,83,0,0,0,0,46.21510103,-84.14988304,2189.87793,8968.152344,2.731375933,10.06746674,14,489.6196899
148,148,150,8,Exposed,WPSS,Gray,44,97,0,0,0,0,46.21507304,-84.14989896,2189.87793,8968.152344,2.731375933,10.06746674,14,489.6196899
149,149,151,9,Exposed,WPSS,Gray,45,104,0,0,0,0,46.21502199,-84.149906,2189.87793,8968.152344,2.731375933,10.06746674,14,489.6196899
150,150,152,10,Exposed,WPSS,Gray,46,112,0,0,0,0,46.21497497,-84.14990701,2189.87793,8968.152344,2.725146055,10.06746674,14,489.6196899
151,151,153,11,Exposed,WPSS,Gray,47,122,0,0,0,0,46.21491998,-84.14991296,2189.87793,8968.152344,2.725146055,10.06746674,14,489.6196899
152,152,154,12,Exposed,WPSS,Gray,48,128,0,0,0,0,46.21488897,-84.14990902,2189.87793,8968.152344,2.719453812,10.06746674,14,489.6196899
153,153,155,1,Exposed,WPSC,Green,63,0,0,0,0,0,46.21547897,-84.15004598,2378.666016,9795.402344,11.71281719,0.254678816,14,489.6196899
154,154,156,2,Exposed,WPSC,Green,64,11,0,0,0,0,46.21543799,-84.15006098,2378.666016,9795.402344,10.10146904,0.254678816,14,489.6196899
155,155,157,3,Exposed,WPSC,Green,65,45,0,0,0,0,46.21539096,-84.15007297,2378.666016,9795.402344,10.10146904,-23.35098648,14,489.6196899
156,156,158,4,Exposed,WPSC,Green,66,46,0,0,0,0,46.21534302,-84.15007297,2378.666016,9795.402344,7.689554214,-23.35098648,14,489.6196899
157,157,159,5,Exposed,WPSC,Green,67,55,0,0,0,0,46.215297,-84.15009099,2378.666016,9795.402344,7.689554214,-23.35098648,14,489.6196899
158,158,160,6,Exposed,WPSC,Green,68,80,0,0,0,0,46.21525199,-84.15010097,2378.666016,9795.402344,7.689554214,-23.35098648,14,489.6196899
159,159,161,7,Exposed,WPSC,Green,69,83,0,0,0,0,46.21521,-84.15011597,2378.666016,9795.402344,3.832996368,-23.35098648,14,489.6196899
160,160,162,8,Exposed,WPSC,Green,70,83,0,0,0,0,46.21516096,-84.15012703,2378.666016,9795.402344,3.832996368,-23.35098648,14,489.6196899
161,161,163,9,Exposed,WPSC,Green,71,85,0,0,0,0,46.21511604,-84.15013097,2378.666016,9795.402344,2.72579217,10.06746674,14,489.6196899
162,162,164,10,Exposed,WPSC,Green,72,86,0,0,0,0,46.21507597,-84.15014899,2378.666016,9795.402344,2.72579217,10.06746674,14,489.6196899
163,163,165,11,Exposed,WPSC,Green,73,98,0,0,0,0,46.21503096,-84.15015897,2378.666016,9795.402344,2.72579217,10.06746674,14,489.6196899
164,164,166,12,Exposed,WPSC,Green,74,110,0,0,0,0,46.21493599,-84.15018302,2378.666016,9795.402344,2.719969511,10.06746674,14,489.6196899
165,165,167,13,Exposed,WPSC,Green,76,118,0,0,0,0,46.21552901,-84.15030498,2378.666016,9795.402344,10.58323479,1.173431039,14,489.6196899
166,166,168,14,Exposed,WPSC,Green,75,125,0,0,0,0,46.21497799,-84.15016903,2210.489014,9072.026367,2.719969511,10.06746674,14,489.6196899
167,167,169,1,Exposed,WPSN,Green,77,15,0,0,0,0,46.21548501,-84.15032099,2210.489014,9072.026367,10.58323479,1.173431039,14,489.6196899
168,168,170,2,Exposed,WPSN,Green,78,75,0,0,0,0,46.21544503,-84.15034303,2210.489014,9072.026367,4.304841042,1.173431039,14,489.6196899
169,169,171,3,Exposed,WPSN,Green,79,54,0,0,0,0,46.21540203,-84.15035896,2210.489014,9072.026367,4.304841042,1.173431039,14,489.6196899
170,170,172,4,Exposed,WPSN,Green,80,59,0,0,0,0,46.21535601,-84.15036399,2210.489014,9072.026367,4.304841042,-5.627241135,14,489.6196899
171,171,173,5,Exposed,WPSN,Green,81,71,0,0,0,0,46.215311,-84.15037899,2210.489014,9072.026367,2.735243797,-5.627241135,14,489.6196899
172,172,174,6,Exposed,WPSN,Green,82,76,0,0,0,0,46.21527001,-84.15039098,2210.489014,9072.026367,2.73312068,-5.627241135,14,489.6196899
173,173,175,7,Exposed,WPSN,Green,83,78,0,0,0,0,46.21522299,-84.15040498,2210.489014,9072.026367,2.727165937,-5.627241135,14,489.6196899
174,174,176,8,Exposed,WPSN,Green,84,76,0,0,0,0,46.215181,-84.15041403,2210.489014,9072.026367,2.727165937,-5.627241135,14,489.6196899
