,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_p,SCH_D,TYP_P,TYP_D,ORG_DEP,LATITUDE,LONGITUDE,Slope,tot_Slope,avg_slope,Fetch_projected,REI_projected,lake_huron,NLCD,Euc_d,Cost_d,cost_sug,Cost_avg,water_depth1,F2013_NCMP_MI_Huron_46084b2c_BareEarth_1mGrid,new_slope,be_stmarys_01,be_stmarys_02_1_,be_stmarys_03,be_stmarys_04,be_stmarys_05,be_stmarys_06,be_stmarys_078,slope_rise_run,slope_riseRun1,slope_rise_run_1,slope_riseRun1_1,small_cost,cost_small,Field,slope_USE,Field1,inside1_small_backwards,F1,site_id,crew_name,date,year,transect_num,point_num,bottom_vis,substrate_type,org_depth_cm,
34,34,35,15,Unexposed,LIEW,Gray,149,129,1,28,0,0,0,46.095874,-84.001484,-0.9,-0.8125,-0.76471,1388.572998,5441.412598,13,11,1169.713867,1865.965576,733867.5,787951.4,175.9120026,-0.0076471,0.476595014,NA,NA,NA,NA,NA,NA,NA,NA,0.516290069,NA,0.516290069,1.253369093,3.125813484,NA,0.516290069,NA,,,,,,,,,,,,118.3048782
35,35,36,16,Unexposed,LIEW,Gray,150,130,1,41,0,0,0,46.095964,-84.001511,-0.1,-0.8125,-0.76471,1476.166992,5813.286133,13,11,1169.713867,1696.02063,725465.5625,787951.4,175.9219971,-0.0076471,0.388148993,NA,NA,NA,NA,NA,NA,NA,NA,0.408892393,NA,0.408892393,1.246225476,3.122145176,NA,0.408892393,NA,,,,,,,,,,,,118.3048782
36,36,1,1,Exposed,LIWC,Green,144,0,0,0,0,0,0,45.105204,-83.522297,0,-2.422222222,-2.18,2003.753052,10076.835,23,11,1169.74,25409.11523,850741.1875,374280.0063,176.0619965,-0.0218,0.169250995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.122145176,NA,-2.72463,NA,,,,,,,,,,,,4.882532597
37,37,38,2,Exposed,LIWC,Green,145,65,0,0,0,0,0,46.093366,-84.006245,-13,-2.42222,-2.18,2003.753052,10076.835,13,11,731.071228,1589.855225,332214.2188,374280,176.052002,-0.0218,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.724634409,NA,-2.724634409,0.868463099,2.934376955,NA,-2.724634409,NA,,,,,,,,,,,,4.842763901
38,38,39,3,Exposed,LIWC,Green,146,72,0,0,0,0,0,46.093382,-84.00631,-1.4,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1460.591553,332214.2188,374280,176.0791473,-0.0218,1.922549963,NA,NA,NA,NA,NA,NA,NA,NA,-4.849993706,NA,-4.849993706,0.868463099,2.928618908,NA,-4.849993706,NA,,,,,,,,,,,,4.802993774
39,39,40,4,Exposed,LIWC,Green,147,68,0,0,0,0,0,46.093422,-84.006342,0.8,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1462.710205,332214.2188,374280,175.9720001,-0.0218,1.774129987,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.868463099,2.928618908,NA,2.663303852,NA,,,,,,,,,,,,4.747154236
40,40,41,5,Exposed,LIWC,Green,148,75,0,0,0,0,0,46.093455,-84.006409,-1.4,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1450.391357,320829.1563,374280,175.9386749,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.856950581,2.928618908,NA,2.663303852,NA,,,,,,,,,,,,4.711614609
41,41,42,6,Exposed,LIWC,Green,149,87,0,0,0,0,0,46.093476,-84.006458,-2.4,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1453.309937,320829.1563,374280,175.9186707,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.851888239,2.920311213,NA,2.663303852,NA,,,,,,,,,,,,4.671841145
42,42,43,7,Exposed,LIWC,Green,150,86,0,0,0,0,0,46.0935,-84.006511,0.2,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1456.643066,320829.1563,374280,175.9662933,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.851888239,2.920311213,NA,2.663303852,NA,,,,,,,,,,,,4.632065773
43,43,44,8,Exposed,LIWC,Green,151,96,0,0,0,0,0,46.093522,-84.006556,-2,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1445.191772,310976.25,374280,176.3119965,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.840341032,2.920311213,NA,2.663303852,NA,,,,,,,,,,,,36.20632172
44,44,45,9,Exposed,LIWC,Green,152,102,0,0,0,0,0,46.093541,-84.006605,-1.2,-2.42222,-2.18,2033.109985,10281.51953,13,11,731.071228,1480.824951,310976.25,374280,176.2919965,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.840341032,2.914548635,NA,2.663303852,NA,,,,,,,,,,,,15.55092621
45,45,46,10,Exposed,LIWC,Green,153,109,0,0,0,0,0,46.093554,-84.006654,-1.4,-2.42222,-2.18,2207.177979,10913.66309,13,11,731.071228,13161.67578,310976.25,374280,176.2799965,-0.0218,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,2.663303852,NA,2.663303852,0.840341032,2.914548635,NA,2.663303852,NA,,,,,,,,,,,,4.910058022
46,46,47,1,Exposed,LIWN,Green,154,1,0,0,0,0,0,46.093609,-84.005981,0,-2.288888889,-2.06,2033.109985,10281.51953,13,11,731.071228,52178.19141,350056.0625,332587.7313,177.0500031,-0.0206,1.21160996,NA,NA,NA,NA,NA,NA,NA,NA,-1.366686583,NA,-1.366686583,0.882145524,2.93538475,NA,-1.366686583,NA,,,,,,,,,,,,4.894199848
47,47,48,2,Exposed,LIWN,Green,155,52,0,0,0,0,0,46.093613,-84.006051,-10.2,-2.28889,-2.06,2033.109985,10281.51953,13,11,731.071228,39678.69141,350056.0625,332587.7,177.0705719,-0.0206,2.202480078,NA,NA,NA,NA,NA,NA,NA,NA,-1.366686583,NA,-1.366686583,0.870250046,2.93538475,NA,-1.366686583,NA,,,,,,,,,,,,4.838615894
48,48,49,3,Exposed,LIWN,Green,156,77,0,0,0,0,0,46.093614,-84.006124,-5,-2.28889,-2.06,2033.109985,10281.51953,13,11,731.071228,27106.625,339734.1563,332587.7,176.602005,-0.0206,2.202480078,NA,NA,NA,NA,NA,NA,NA,NA,-1.366686583,NA,-1.366686583,0.870250046,2.929442167,NA,-1.366686583,NA,,,,,,,,,,,,4.838615894
49,49,50,4,Exposed,LIWN,Green,157,79,0,0,0,0,0,46.093627,-84.006184,-0.4,-2.28889,-2.06,2033.109985,10281.51953,13,11,731.071228,27106.625,339734.1563,332587.7,176.6719971,-0.0206,2.202480078,NA,NA,NA,NA,NA,NA,NA,NA,-1.366686583,NA,-1.366686583,0.870250046,2.929442167,NA,-1.366686583,NA,,,,,,,,,,,,4.838615894
